                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.1427,                 4.5781,                 4.0092,                 2.7645,                 8.9595,                 4.1727,                0.00322,                0.63695,                0.01807,                0.00615,                 2.6988,                  6.786,                 3.7259,                 2.3459,                 12.092,                 3.4851,             0.00033118,             0.00033118,             0.00033118
                      2,                 2.4539,                 3.4079,                 2.9171,                  2.131,                 6.1207,                 2.8399,                0.39953,                0.34882,                0.11865,                0.04252,                 2.1343,                 6.9906,                 2.7985,                  1.917,                 9.3325,                 2.5391,             0.00053294,             0.00053294,             0.00053294
                      3,                 1.8165,                 2.5841,                 2.2126,                 1.6829,                 3.9186,                 2.0928,                0.31269,                0.27999,                0.13251,                0.07821,                 1.3434,                 3.5084,                 1.8661,                 1.2557,                 4.8924,                 1.7278,              0.0006027,              0.0006027,              0.0006027
                      4,                 1.5651,                 2.2205,                 1.9131,                  1.472,                 3.0954,                 1.8008,                0.26861,                0.51546,                0.27799,                0.19652,                 1.0438,                 2.7727,                 1.5375,                 1.0723,                 3.6957,                 1.4877,               0.000406,               0.000406,               0.000406
                      5,                 1.3747,                 1.9698,                 1.7409,                 1.3207,                 2.6114,                 1.6575,                0.54921,                0.52402,                0.54469,                0.43314,                0.82805,                 1.7943,                 1.3691,                0.83795,                 2.5638,                 1.3224,               0.000406,               0.000406,               0.000406
