                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     24,                0.68323,                0.75194,                 1.1406,                0.75488,                0.96447,                  1.178,                0.84661,                0.86567,                0.95122,                0.90501,                0.40335,                0.69564,                0.91984,                0.40644,                0.65298,                0.92451,              0.0005644,              0.0005644,              0.0005644
                     25,                0.68089,                0.72784,                  1.143,                0.75974,                0.92313,                 1.1795,                0.85799,                0.86873,                0.94781,                0.89381,                 0.3985,                0.39281,                0.92317,                0.42507,                0.46414,                0.92526,              0.0005446,              0.0005446,              0.0005446
                     26,                0.67845,                0.71278,                 1.1447,                0.75932,                0.91329,                 1.1797,                0.90653,                0.89567,                0.95977,                0.92404,                0.36638,                0.42836,                0.92221,                0.37203,                0.45208,                 0.9255,              0.0005248,              0.0005248,              0.0005248
                     27,                0.68357,                0.70313,                 1.1438,                0.75334,                0.89332,                 1.1801,                0.89895,                0.92331,                0.97072,                0.92754,                0.34931,                0.40551,                0.90207,                0.37546,                0.44077,                0.91019,               0.000505,               0.000505,               0.000505
                     28,                  0.683,                0.70897,                  1.141,                0.75136,                0.90993,                 1.1723,                0.87371,                0.93239,                 0.9665,                0.92124,                0.35191,                0.33708,                0.90813,                0.38776,                0.35655,                0.92129,              0.0004852,              0.0004852,              0.0004852
                     29,                0.65417,                0.66658,                 1.1222,                0.73131,                0.85047,                 1.1601,                0.89658,                 0.8876,                0.96295,                0.93035,                0.34877,                0.33427,                0.90931,                0.36498,                0.39655,                0.92014,              0.0004654,              0.0004654,              0.0004654
                     30,                0.64698,                0.65124,                 1.1163,                0.72445,                0.82727,                 1.1522,                0.96838,                0.92053,                0.97634,                0.93773,                0.35035,                0.30158,                0.89642,                0.36297,                 0.3037,                0.90211,              0.0004456,              0.0004456,              0.0004456
                     31,                 0.6431,                0.65584,                 1.1178,                0.72638,                0.83413,                 1.1546,                0.94944,                0.91234,                0.97218,                0.92957,                0.36053,                0.36166,                0.90208,                0.37137,                0.35864,                0.89843,              0.0004258,              0.0004258,              0.0004258
                     32,                0.65007,                0.64472,                 1.1193,                0.72181,                 0.8153,                 1.1509,                 0.9306,                0.92991,                0.97448,                0.94358,                0.32378,                0.37101,                0.89929,                0.34535,                0.36255,                0.89814,               0.000406,               0.000406,               0.000406
                     33,                0.64376,                0.63227,                 1.1226,                0.72132,                0.81481,                 1.1574,                0.94474,                0.94112,                0.98563,                0.94991,                0.31818,                0.28641,                0.89651,                 0.3458,                 0.2834,                0.89401,              0.0003862,              0.0003862,              0.0003862
                     34,                0.63794,                0.63809,                 1.1198,                0.72249,                 0.8287,                 1.1576,                0.93944,                0.93146,                0.97544,                0.92546,                0.34715,                0.31774,                0.90194,                 0.3853,                0.35539,                0.90841,              0.0003664,              0.0003664,              0.0003664
                     35,                0.62758,                0.60448,                 1.1095,                0.70875,                0.75961,                 1.1435,                0.91869,                0.94201,                0.97987,                 0.9437,                0.31795,                0.29752,                0.89347,                0.34648,                0.30258,                0.89325,              0.0003466,              0.0003466,              0.0003466
                     36,                0.60776,                0.59475,                 1.1022,                0.68928,                0.75168,                  1.135,                0.93713,                0.88883,                0.97089,                0.93582,                 0.3175,                 0.4287,                0.88948,                0.33778,                0.50066,                0.88913,              0.0003268,              0.0003268,              0.0003268
                     37,                0.59381,                0.59622,                 1.0926,                0.67181,                0.76602,                 1.1249,                0.96217,                0.96317,                0.98575,                0.95877,                 0.3107,                0.27451,                0.89393,                0.30907,                0.29331,                0.88523,               0.000307,               0.000307,               0.000307
                     38,                0.59697,                0.57498,                 1.0977,                0.66473,                 0.7414,                 1.1291,                0.94754,                0.93574,                0.98493,                0.95139,                0.32699,                0.28945,                0.89007,                0.34204,                0.25857,                0.88611,              0.0002872,              0.0002872,              0.0002872
                     39,                0.59632,                0.57556,                 1.0953,                0.68034,                0.74156,                 1.1337,                0.93897,                0.93344,                0.98246,                0.95228,                0.31104,                0.27226,                0.88718,                 0.3385,                0.28066,                0.88898,              0.0002674,              0.0002674,              0.0002674
                     40,                0.59241,                 0.5708,                 1.0959,                0.66867,                0.72103,                 1.1293,                0.92893,                0.96074,                0.98721,                0.96788,                0.27641,                0.25953,                0.86024,                0.28763,                0.26328,                0.86426,              0.0002476,              0.0002476,              0.0002476
                     41,                0.31814,                0.33833,                0.88758,                0.34783,                0.34323,                0.90575,                0.95963,                0.94199,                0.98648,                0.95783,                 0.2995,                0.26644,                0.88679,                0.31083,                0.25696,                0.88559,              0.0002278,              0.0002278,              0.0002278
                     42,                0.29793,                0.29977,                0.87541,                0.32632,                0.28404,                0.89032,                0.93739,                0.94567,                0.98297,                0.95372,                0.30486,                0.25489,                0.88574,                0.31456,                0.25432,                0.88702,               0.000208,               0.000208,               0.000208
                     43,                0.29407,                0.29446,                0.87143,                0.32537,                0.28088,                  0.883,                0.97653,                0.93182,                0.98893,                0.96396,                0.29756,                0.25672,                0.86945,                0.31212,                0.22836,                0.86714,              0.0001882,              0.0001882,              0.0001882
                     44,                0.28603,                0.29245,                0.86569,                0.30783,                0.28235,                 0.8762,                0.96564,                0.94161,                0.98826,                0.96561,                0.26937,                0.23268,                0.85814,                0.28126,                0.21551,                 0.8585,              0.0001684,              0.0001684,              0.0001684
                     45,                0.28332,                0.29315,                0.86467,                0.30486,                0.28865,                0.87301,                0.95347,                0.96146,                0.98609,                0.96401,                0.28543,                0.24069,                0.87373,                0.28802,                 0.2296,                0.87305,              0.0001486,              0.0001486,              0.0001486
                     46,                0.27388,                0.27298,                0.86422,                 0.2949,                0.25465,                0.87253,                0.96356,                0.96124,                 0.9887,                0.96533,                0.27881,                0.22556,                0.87496,                0.28579,                 0.2171,                0.86992,              0.0001288,              0.0001288,              0.0001288
                     47,                0.26783,                0.26695,                0.85409,                0.28767,                0.25493,                0.86147,                0.97051,                0.93496,                 0.9878,                0.96504,                0.26645,                0.24074,                0.87465,                0.27325,                0.22704,                0.86805,               0.000109,               0.000109,               0.000109
                     48,                0.26084,                0.25713,                0.84822,                0.28045,                0.24014,                0.85418,                 0.9616,                0.95004,                0.99051,                0.97259,                0.26199,                0.22125,                0.86003,                  0.276,                0.19299,                0.86131,               8.92e-05,               8.92e-05,               8.92e-05
                     49,                0.26014,                0.25323,                0.85114,                0.28049,                0.22809,                0.85771,                0.97837,                0.96056,                0.99016,                0.97098,                0.26475,                0.21788,                 0.8704,                0.26821,                0.19422,                 0.8635,               6.94e-05,               6.94e-05,               6.94e-05
                     50,                0.25051,                0.25029,                0.84753,                0.26629,                0.23617,                 0.8534,                0.96573,                0.95789,                0.98883,                0.96868,                0.25883,                0.22238,                0.86309,                0.26877,                0.21199,                0.86071,               4.96e-05,               4.96e-05,               4.96e-05
